time,cpu_usage_pct,ram_usage_pct,network_in,network_out,block:block_bio_backmerge,block:block_bio_remap,block:block_dirty_buffer,block:block_getrq,block:block_touch_buffer,block:block_unplug,clk:clk_set_rate,cpu-migrations,cs,fib:fib_table_lookup,filemap:mm_filemap_add_to_page_cache,gpio:gpio_value,ipi:ipi_raise,irq:irq_handler_entry,irq:softirq_entry,jbd2:jbd2_handle_start,jbd2:jbd2_start_commit,kmem:kfree,kmem:kmalloc,kmem:kmem_cache_alloc,kmem:kmem_cache_free,kmem:mm_page_alloc,kmem:mm_page_alloc_zone_locked,kmem:mm_page_free,kmem:mm_page_pcpu_drain,mmc:mmc_request_start,net:net_dev_queue,net:net_dev_xmit,net:netif_rx,page-faults,pagemap:mm_lru_insertion,preemptirq:irq_enable,qdisc:qdisc_dequeue,random:get_random_bytes,random:mix_pool_bytes_nolock,random:urandom_read,raw_syscalls:sys_enter,raw_syscalls:sys_exit,rpm:rpm_resume,rpm:rpm_suspend,sched:sched_process_exec,sched:sched_process_free,sched:sched_process_wait,sched:sched_switch,sched:sched_wakeup,signal:signal_deliver,signal:signal_generate,skb:consume_skb,skb:kfree_skb,skb:skb_copy_datagram_iovec,sock:inet_sock_set_state,task:task_newtask,tcp:tcp_destroy_sock,tcp:tcp_probe,timer:hrtimer_start,timer:timer_start,workqueue:workqueue_activate_work,writeback:global_dirty_state,writeback:sb_clear_inode_writeback,writeback:wbc_writepage,writeback:writeback_dirty_inode,writeback:writeback_dirty_inode_enqueue,writeback:writeback_dirty_page,writeback:writeback_mark_inode_dirty,writeback:writeback_pages_written,writeback:writeback_single_inode,writeback:writeback_write_inode,writeback:writeback_written
11:14:02,29.6,0.811834,19.31,2.05,0,0,0,0,0,0,4,3,301536,7,0,4,333,121339,603,0,0,228,201,331,772,48,0,105,63,2,6,6,1,56,14,969646,15,0,2,2,181462,181455,4,5,0,1,3,301243,180610,3,3,21,10,6,0,0,0,4,380657,118,39,0,0,0,1,0,0,1,0,0,0,0
11:14:12,29.6,0.81201,18.11,1.19,0,0,0,0,0,0,4,7,279575,8,0,4,317,100827,566,0,0,224,199,330,960,46,1,122,0,2,5,5,1,69,20,864902,13,1,2,2,180182,180180,4,4,0,0,3,279452,179255,3,3,19,11,6,0,0,0,4,358840,118,36,0,0,0,1,0,0,1,0,0,0,0
11:14:21,29.6,0.811353,22.48,3.34,0,0,0,0,0,0,4,13,300472,11,0,4,335,120086,702,0,0,240,208,374,788,50,1,74,0,2,5,5,1,68,19,963382,13,0,1,2,181695,181681,4,4,0,0,3,299973,180694,3,3,32,10,12,0,0,0,4,373501,126,39,0,0,0,2,0,0,2,0,0,0,0
11:14:31,29.6,0.811202,26.13,5.05,0,0,0,0,0,0,4,8,301533,7,0,2,336,121394,651,0,0,224,199,329,766,49,1,81,31,1,5,5,1,60,19,969697,13,0,2,2,181424,181411,2,2,0,0,3,301231,180559,3,3,19,10,6,0,0,0,4,380846,117,37,0,0,0,1,0,0,1,0,0,0,0
11:14:41,29.6,0.809865,7.68,3.98,10,13,0,3,76,1,4,13,300184,7,0,16,344,120692,663,26,0,264,226,472,1130,49,1,123,0,8,5,5,1,67,21,966379,13,1,2,2,180997,180994,6,7,0,0,3,300067,180084,3,3,19,10,6,0,0,0,4,383341,126,54,1,13,0,14,0,0,14,1,25,25,2
11:14:50,29.6,0.809958,0.87,0.86,190,206,193,15,2499,5,6,16,294376,8,158,60,387,116259,811,572,1,1370,750,5335,5350,1910,265,3896,1924,30,15,15,1,3366,1719,957223,33,2,3,2,182041,182031,10,11,2,7,8,293879,178531,4,9,40,16,31,6,3,2,9,366092,175,143,3,93,0,267,146,179,446,1,170,170,2
11:15:00,29.6,0.809932,1.27,0.83,81,95,87,13,2793,5,4,19,288408,13,157,56,400,110046,966,579,0,2079,1173,7496,7380,2672,1007,4003,1892,28,41,41,1,4394,2441,937455,85,3,2,2,186395,186358,14,15,3,8,8,288274,179160,4,9,93,16,74,8,4,2,33,351458,196,144,2,95,0,281,147,82,363,1,172,172,2
11:15:10,29.6,0.810134,1.15,0.78,71,94,87,22,2804,7,2,32,296912,17,157,88,434,117631,1051,578,0,2093,1184,7546,7069,2672,824,3933,1737,44,61,61,1,4373,2427,971980,125,3,3,2,187240,187216,12,13,3,8,8,296658,179929,4,9,136,16,84,8,5,2,40,334870,227,144,2,94,0,283,147,82,365,1,170,170,2
11:15:19,29.6,0.810136,1.42,0.49,0,8,113,8,2719,8,6,28,274121,38,191,36,604,98394,1416,488,0,2693,1692,9842,9303,4327,2319,4346,2232,265,62,62,1,6364,3967,877996,127,7,9,4,191087,191062,175,19,7,20,10,274029,177503,6,11,291,20,105,10,10,2,38,311815,525,180,2,8,0,250,178,102,352,0,0,0,0
11:15:29,29.6,0.810746,0.67,0.65,36,51,113,14,2716,10,2,20,294437,20,249,46,415,115447,1159,488,0,2450,1511,9754,8553,4378,2380,4133,2108,23,64,64,1,6326,4022,963691,131,7,3,4,193576,193558,30,31,7,10,10,294081,179611,5,10,140,19,89,10,10,2,42,336706,214,72,2,8,0,251,178,102,353,0,0,0,0
11:15:39,29.5,0.810145,0.49,0.23,0,8,113,8,2698,8,2,34,291823,24,190,36,412,113755,1119,487,0,2760,1823,11736,10550,4726,2355,4559,2232,18,59,59,1,7250,4237,966627,121,11,2,4,195902,195863,16,17,11,9,19,291680,178741,9,15,135,20,79,10,15,2,38,331235,217,62,2,8,0,254,178,102,356,0,0,0,0
11:15:48,29.5,0.810223,0.66,0.30,0,4,26,4,450,4,4,15,285294,24,34,20,365,107177,1042,87,0,1676,1492,6492,5949,2773,2000,688,31,10,45,45,1,3532,2454,916487,93,8,2,5,192424,192403,12,13,8,8,14,284902,178602,8,9,110,18,43,4,11,0,23,330318,195,48,0,4,0,63,31,20,83,0,0,0,0
11:15:58,29.5,0.810205,0.57,0.23,0,4,26,4,439,4,4,17,292580,17,34,20,368,114145,903,87,0,1213,1044,5582,5056,2107,1504,2218,1736,10,26,26,1,2971,1796,949437,55,8,2,4,189583,189563,8,9,8,8,14,292164,178832,8,9,67,13,26,2,11,0,12,351497,169,50,1,4,0,61,31,20,81,0,0,0,0
11:16:07,29.5,0.810061,0.49,0.23,0,0,0,0,0,0,3,19,296321,8,0,4,348,117024,823,0,0,634,570,2560,2845,458,68,520,124,2,11,11,1,916,258,953260,25,4,2,3,183004,182990,4,5,4,5,12,295955,179722,7,8,37,15,13,0,5,0,9,363293,130,36,0,0,0,8,0,0,8,0,0,0,0
11:16:17,29.5,0.810159,0.78,0.42,92,94,92,2,0,1,0,11,293607,8,2,12,414,117630,890,0,1,1201,1029,5066,5418,2588,1934,2631,1829,6,12,12,5,2437,814,954054,19,9,2,47,183532,183509,8,9,9,11,20,293239,176441,8,12,33,12,20,0,11,0,11,333029,137,45,1,0,0,23,0,81,104,1,1,1,2
